program_slug,category_slug,course_code
me-bs,comp,ENGL 1001
me-bs,comp,ENGL 2000
me-bs,comm,CMST 1061
me-bs,hum,HIST 1001
me-bs,hum,HIST 1003
me-bs,hum,PHIL 1000
me-bs,hum,MUS 1751
me-bs,hum,ARTS 1010
me-bs,hum,THTR 1020
me-bs,socsci,PSYC 2000
me-bs,socsci,SOCL 2001
me-bs,socsci,ECON 2030
me-bs,socsci,POLI 2051
me-bs,socsci,GEOG 1001
me-bs,socsci,ANTH 1001
me-bs,math-core,MATH 1550
me-bs,math-core,MATH 1552
me-bs,math-core,MATH 2057
me-bs,math-core,MATH 2065
me-bs,sci-core,CHEM 1201
me-bs,sci-core,CHEM 1202
me-bs,sci-core,PHYS 2110
me-bs,sci-core,PHYS 2113
me-bs,sci-core,BIOL 1201
me-bs,engr-core,CE 2450
me-bs,engr-core,CE 2460
me-bs,engr-core,CE 3400
me-bs,engr-core,EE 2950
me-bs,engr-core,ME 2543
me-bs,engr-core,ME 2733
me-bs,me-core,ME 2334
me-bs,me-core,ME 3133
me-bs,me-core,ME 3333
me-bs,me-core,ME 3433
me-bs,me-core,ME 3633
me-bs,me-core,ME 3834
me-bs,me-core,ME 4133
me-bs,me-core,ME 4621
me-bs,me-core,ME 4622
me-bs,tech-elect,ME 4243
me-bs,tech-elect,ME 4433
me-bs,tech-elect,ME 4573
me-bs,free-elect,MATH 1021
me-bs,free-elect,MATH 1022
me-bs,free-elect,KIN 1600
me-bs,free-elect,KIN 2500
me-bs,free-elect,SPAD 2000
me-bs,free-elect,SPAD 2510
me-bs,free-elect,ACCT 2001
me-bs,free-elect,MGT 3200
me-bs,free-elect,MKT 3401
me-bs,free-elect,BLAW 3201
me-bs,free-elect,GEOL 1001
me-bs,free-elect,ENVS 1126
me-bs,free-elect,BIOL 1202
me-bs,free-elect,SPAN 1101
me-bs,free-elect,SPAN 1102
me-bs,free-elect,GEOG 1001
me-bs,free-elect,ANTH 1001
me-bs,free-elect,THTR 1020
me-bs,free-elect,CSC 1240
me-bs,free-elect,HIST 1001
me-bs,free-elect,HIST 1003
me-bs,free-elect,PHIL 1000
me-bs,free-elect,MUS 1751
me-bs,free-elect,ARTS 1010
me-bs,free-elect,PSYC 2000
me-bs,free-elect,SOCL 2001
me-bs,free-elect,ECON 2030
me-bs,free-elect,POLI 2051
spad-ba,comp,ENGL 1001
spad-ba,comp,ENGL 2000
spad-ba,comm,CMST 1061
spad-ba,math,MATH 1021
spad-ba,math,MATH 1022
spad-ba,hum,HIST 1001
spad-ba,hum,HIST 1003
spad-ba,hum,PHIL 1000
spad-ba,hum,MUS 1751
spad-ba,hum,ARTS 1010
spad-ba,hum,THTR 1020
spad-ba,natsci,BIOL 1201
spad-ba,natsci,BIOL 1202
spad-ba,natsci,GEOL 1001
spad-ba,natsci,CHEM 1201
spad-ba,natsci,ENVS 1126
spad-ba,socsci,PSYC 2000
spad-ba,socsci,SOCL 2001
spad-ba,socsci,ECON 2030
spad-ba,socsci,POLI 2051
spad-ba,socsci,GEOG 1001
spad-ba,socsci,ANTH 1001
spad-ba,bus-found,ACCT 2001
spad-ba,major-core,KIN 1600
spad-ba,major-core,SPAD 2000
spad-ba,major-core,SPAD 2510
spad-ba,major-core,SPAD 3000
spad-ba,major-core,SPAD 3100
spad-ba,major-core,SPAD 3200
spad-ba,major-core,SPAD 3510
spad-ba,major-core,SPAD 4000
spad-ba,major-core,SPAD 4100
spad-ba,major-core,SPAD 4500
spad-ba,major-elect,SPAD 4200
spad-ba,major-elect,MGT 3200
spad-ba,major-elect,MKT 3401
spad-ba,major-elect,BLAW 3201
spad-ba,major-elect,KIN 2500
spad-ba,free-elect,GEOL 1001
spad-ba,free-elect,ENVS 1126
spad-ba,free-elect,BIOL 1201
spad-ba,free-elect,BIOL 1202
spad-ba,free-elect,CHEM 1201
spad-ba,free-elect,CHEM 1202
spad-ba,free-elect,HIST 1001
spad-ba,free-elect,HIST 1003
spad-ba,free-elect,PHIL 1000
spad-ba,free-elect,MUS 1751
spad-ba,free-elect,ARTS 1010
spad-ba,free-elect,THTR 1020
spad-ba,free-elect,PSYC 2000
spad-ba,free-elect,SOCL 2001
spad-ba,free-elect,ECON 2030
spad-ba,free-elect,POLI 2051
spad-ba,free-elect,GEOG 1001
spad-ba,free-elect,ANTH 1001
spad-ba,free-elect,KIN 2500
spad-ba,free-elect,MGT 3200
spad-ba,free-elect,MKT 3401
spad-ba,free-elect,BLAW 3201
spad-ba,free-elect,FIN 3715
spad-ba,free-elect,SPAD 4200
spad-ba,free-elect,MATH 1550
spad-ba,free-elect,SPAN 1101
spad-ba,free-elect,SPAN 1102
spad-ba,free-elect,CSC 1240
bus-minor,minor-core,ACCT 2001
bus-minor,minor-core,MGT 3200
bus-minor,minor-core,MKT 3401
bus-minor,minor-elect,BLAW 3201
bus-minor,minor-elect,ECON 2030
bus-minor,minor-elect,FIN 3715
